,Name,Institution
0,Sheila (Korth) Karpf,University of Nebraska-Omaha
1,Jennifer (Kyle) Baird,Occidental College
2,Kellie (Sims) Butler,Texas AM University
3,Hadeel Abdallah,University of Kentucky
4,Rana Abdelhamid,Middlebury College
5,Salma Abdelrahman,Harvard University
6,Douglas Abdiel,Citadel
7,Benjamin Able,Furman University
8,Patrick Abramowich,University of Pittsburgh
9,Stacey Abrams,Spelman College
10,Stacey Abrams,Spelman College
11,Toni Acevedo  ,University of Southern California
12,Carlos Acevedo Munoz,University of Puerto Rico-Ponce
13,Jeanelle Achee,University of Vermont
14,Russell Acker,Texas AM University
15,Jason Ackleson,New Mexico State University
16,Rachel Ackoff,Swarthmore College
17,Douglas Adair,Samford University
18,Judson Adams,University of Louisville
19,John Addison,University of Arkansas 
20,Haleemat Adekoya,University of Maryland Baltimore County
21,Wendi Adelson,Brandeis University
22,David Adkins,University of Kansas 
23,Cameron  Adkins,Columbia University 
24,Jonathan Adler,Cornell University
25,Pooja Agarwal,Washington University
26,Swati Agarwal,University of Michigan
27,David Agnew,Erskine College
28,Rebeca Agosto-Rosa,University of Puerto Rico-Rio Piedras
29,Malhaar Agrawal,Massachusetts Institute of Technology
30,Mark Aguilar,Brown University
31,JakinDee Aguon-Perez,University of Guam
32,Sagal Ahmed,Carleton College
33,Azeem Ahmed,Auburn University
34,Jean Aho,University of Maine at Presque Isle
35,Safiya  Aijazi (Subegdjo),Tufts University
36,Adam Ake,United States Military Academy
37,Aletha Akers,Bryn Mawr College
38,Lina Al Taan Al Hariri,University of Rhode Island
39,Yusef Al-Jarani,University of Chicago
40,Sara Al-Zubi,Miami University
41,Runa Alam,Princeton University
42,Joris Alawoe ,University of Colorado
43,Stacy Aldinger,American University
44,Ana Alemany,Georgetown University
45,Michelle Alexander,Vanderbilt University
46,Nooran Alhamdan,University of New Hampshire
47,Mussab Ali,Rutgers University - Newark
48,Larrisa Alire,Coe College
49,Ross Allen,Kansas State University
50,Ross Allen,Kansas State University
51,Amanda Allen,University of Louisville
52,Kim Allen,Wichita State University
53,Genevieve Allen,University of Texas
54,Danielle Allen,University of North Carolina-Chapel Hill
55,Jeremy Allen,University of Oklahoma
56,Dee Allen,University of Louisville
57,Robert Allsbrook,University of Alabama
58,Kurt Alme,University of Colorado
59,Tico Almeida,Duke University
60,Daisy Almonte,Duke University
61,Carlos Alonso,University of Puerto Rico-Rio Piedras
62,Ryann Alonso,University of Arkansas 
63,Ruben Alonzo,Massachusetts Institute of Technology
64,Emily Altermatt,Bryn Mawr College
65,Abigail Alvarez,Santa Clara University
66,Jonathan Amacker,Mississippi State University
67,Adam Amir,University of Florida
68,Andrew Amis,Rice University
69,Mary Ammann,College of New Jersey
70,Gabriel Amo,Wheaton College - MA
71,Mildred An,Radcliffe College
72,Iman Anabtawi,Pomona College
73,Ioannis Anaipakos,Trinity University
74,Kelly Anderson,Hastings College
75,Jeremy Anderson,Ohio University
76,Stephen Anderson,University of Pennsylvania
77,Julie Anderson,Nebraska Wesleyan University
78,Mary Anderson,Swarthmore College
79,Robert Anderson,Yale University
80,Scott Anderson,Indiana University
81,Jill Anderson,University of Wyoming
82,Jon Anderson,Brown University
83,Kelly Anderson,Hastings College
84,Jack Andraka,Stanford University
85,Seth Andrew,Brown University
86,Athena Andrew,Occidental College
87,Flynn Andrizzi,University of Utah
88,Mark Angel,University of Chicago
89,David Angeles,University of North Carolina-Chapel Hill
90,Jessica Angelette,University of Missouri
91,Paul Angelo,United States Naval Academy
92,Stephen Ansolabehere,University of Minnesota
93,Shirley Anthony,Lenoir-Rhyne University
94,William Anton,Princeton University
95,Julian Applebaum,Macalester College
96,William Araiza,Columbia University 
97,Javier Arce-Nazario,University of Puerto Rico-Rio Piedras
98,Deborah Archer,Smith College
99,Joshua Arens,University of South Dakota
100,Wilma Arguinzoni,Bunker Hill Community College
101,Ose Ehianeta  Arheghan,Ohio State University
102,Daniel Armanios,University of Pittsburgh
103,John Armour,West Virginia University
104,Racquel Armstrong,Wellesley College
105,Craig Arnold,University of Kansas 
106,Stephanie Arnold,University of Tulsa
107,Christina Arnold,American University
108,Julia Arntz,Oklahoma State University
109,Andrés Arocho,University of Rochester
110,Jamie Aron,Mississippi State University
111,Sunita Arora,Rhodes College
112,Jason Arterburn,University of Alabama
113,Anson Asbury,Villanova University
114,Alula Asfaw,University of Washington
115,Alyssa Ashcraft,University of Texas
116,Qiddist Ashé,Northwestern University
117,Olivia Ashe,Seattle University
118,Aditya Ashok,Boston College
119,Juana Atencio-Pacheco,University of New Mexico
120,John Ates,University of Mississippi
121,Darrius Atkins,Morehouse College
122,Bob Atkinson,Yale University
123,Kimberly Atwell,University of Wyoming
124,Benjamin Au,Duke University
125,Diana Aubourg,Syracuse University
126,Gregg Audet,College of the Holy Cross
127,Jonathan Auerbach,Dartmouth College
128,Lorraine Augostini,Trinity College [CT]
129,Byron Auguste,Yale University
130,Maren Aukerman,Williams College
131,Miriam Aukerman,Cornell University
132,L. Auld,Wake Forest University
133,David Austin,University of Wisconsin-Madison
134,Evan Avila,University of Maryland Baltimore County
135,Jose Avila,Williams College
136,Ashley Avis,North Carolina State University
137,Zack Avre,Macalester College
138,Yesenia  Ayala ,Grinnell College
139,Jessica Ayo Alabi,Chapman University
140,Samuel Ayres,Yale University
141,Sandra Babcock,Johns Hopkins University
142,Brian Babcock-Lumish,United States Military Academy
143,Terry Babcock-Lumish,Carnegie Mellon University
144,Maya Babu,University of Minnesota
145,Danielle Bäck,Arizona State University
146,Katy Backes,University of Minnesota
147,Cheryl Bactista,University of Hawaii Honolulu Community College
148,Laurie Badley,George Mason University
149,Daniel Baer,Harvard University
150,Hira Baig,Rice University
151,Jennifer Bailey,Tufts University
152,Jules Bailey,Lewis and Clark College
153,Jesse Bailey,University of Rochester
154,Martha Bailey,Ohio University
155,Chiraag Bains,Yale University
156,Edward Baird,University of Virginia
157,Kellcee Baker,University of Minnesota-Morris
158,Andee Baker,Montana State University-Bozeman
159,Sarah Baker,University of Missouri
160,Emily Baker-White,Oberlin College
161,Amar Bakshi,Harvard University
162,Brian Baldwin,University of Massachusetts-Boston
163,Leslie Baledge,North Arkansas College
164,Jennifer Ball,Augustana University
